2026-04-07 18:56:12 | symbol_done | idx=41 | total=61 | symbol=AKTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.534 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=28 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 10:00:00 | nearest_setup_delta_min=2160.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=42 | total=61 | symbol=ALCHUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.451 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=17 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 19:00:00 | nearest_setup_delta_min=1620.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=43 | total=61 | symbol=ALGOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.367 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=13 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 19:00:00 | nearest_setup_delta_min=1620.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=44 | total=61 | symbol=ALICEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.281 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=17 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-04 20:00:00 | nearest_setup_delta_min=1560.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=45 | total=61 | symbol=ALLOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.217 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=23 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 07:00:00 | nearest_setup_delta_min=900.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=46 | total=61 | symbol=ALLUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.160 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=6 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-03 13:00:00 | nearest_setup_delta_min=3420.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=47 | total=61 | symbol=ALPINEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.096 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=7 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-02-16 00:00:00 | nearest_setup_delta_min=25800.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=48 | total=61 | symbol=ALTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.012 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=15 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-05 09:00:00 | nearest_setup_delta_min=780.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=49 | total=61 | symbol=AMZNUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.944 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=1 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-02-20 18:00:00 | nearest_setup_delta_min=18960.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
2026-04-07 18:56:12 | symbol_done | idx=50 | total=61 | symbol=ANIMEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.890 | scan_open_ts=2026-03-05 23:00:00 | last_closed_ts=2026-03-05 22:00:00 | setup_total=10 | latest_setup_count=0 | latest_long_count=0 | latest_short_count=0 | nearest_setup_ts=2026-03-02 08:00:00 | nearest_setup_delta_min=5160.000 | active_setup_ts= | setup_mode=none | carry_setup_delta_min= | candidate_count=0 | threshold=0.650000
