symbol,signals,market_pnl_R,limit_pnl_R,limit_fills,missed_trades
AIUSDT,7,-2.3563553605995295,-1.8035238899359394,6,1
ETCUSDT,10,-2.466761753266538,-2.466761753266538,10,0
FORMUSDT,5,-4.0,-4.0,5,0
COSUSDT,12,5.115716473401296,6.115716473401296,11,1
MTLUSDT,3,2.639580551324702,0,1,2
ATAUSDT,6,-0.3484140281377024,3.4770932066765097,5,1
KNCUSDT,4,2.537844411503613,-1.0,3,1
ATHUSDT,10,4.369820492313391,4.369820492313391,10,0
KERNELUSDT,4,1.46040166290308,-2.0,3,1
0GUSDT,7,7.942686709000743,9.610828304270457,6,1
HEMIUSDT,8,-3.9912933876078407,-5.0,6,2
CATIUSDT,4,9.661796429181965,10.661796429181965,3,1
CTSIUSDT,10,7.138773628864678,14.704167359875159,9,1
ZROUSDT,7,1.8005244960549605,6.5791813774392995,7,0
HYPERUSDT,11,4.196616737224737,8.69039035454582,9,2
MUSDT,2,-2.0,1.954765079022105,2,0
IOTAUSDT,8,1.239207658380864,1.239207658380864,8,0
NFPUSDT,9,0.8418907521640029,1.8418907521640029,7,2
SOMIUSDT,8,-4.694057605848501,-6.0,6,2
POWERUSDT,0,0,0,0,0
BEAMXUSDT,10,-3.603947264811699,-6.0,9,1
SAGAUSDT,8,0.9445241083457403,-0.629119366048223,5,3
TAIKOUSDT,5,4.0710242534207595,1.5774260815123862,4,1
NMRUSDT,9,-0.24710081484824364,-0.24710081484824364,9,0
ALICEUSDT,5,7.509135239358712,-1.0,2,3
COMMONUSDT,4,0.2012926191583917,0.2012926191583917,4,0
SQDUSDT,9,-5.2187262964206855,-5.2187262964206855,9,0
CLANKERUSDT,6,0.7779334711395531,-3.0,4,2
FLUXUSDT,9,-3.8167408893210184,-2.8167408893210184,9,0
IOUSDT,9,2.654902300231727,4.736422629233373,7,2
CCUSDT,7,1.7022523649919767,-0.9723221489422094,6,1
LUMIAUSDT,7,2.7088008883004937,2.7088008883004937,7,0
API3USDT,9,5.559182573627801,4.39127229909376,5,4
HAEDALUSDT,12,7.175212188066194,3.9718163317303428,11,1
AVAAIUSDT,5,0.13881721471747754,0.13881721471747754,5,0
BTCDOMUSDT,3,-2.0,-2.0,3,0
TURBOUSDT,11,13.497030912014795,18.385031932695078,11,0
SPELLUSDT,8,5.82625171607571,6.82625171607571,6,2
MANTAUSDT,9,-3.9910385588859945,-2.9910385588859945,8,1
INJUSDT,16,-7.087027864566831,-1.5351821239023526,15,1
OMUSDT,8,3.3567889771987915,3.3567889771987915,8,0
ARCUSDT,10,0.46252018938045936,2.4803419395827775,9,1
1000BONKUSDT,15,7.54199292461272,9.541992924612721,14,1
TRXUSDT,0,0,0,0,0
MITOUSDT,5,-5.0,-1.7317236736513526,5,0
TAOUSDT,3,-3.0,-1.0,2,1
AUSDT,7,-0.9546659399892632,-0.9546659399892632,6,1
ALCHUSDT,5,2.2947238944025115,2.2947238944025115,5,0
BCHUSDT,3,-2.0,-2.0,3,0
FOLKSUSDT,3,1.0037068357984564,2.0690944761761467,2,1
BASUSDT,8,0.9553821107822797,-3.0881298423873424,6,2
GRASSUSDT,6,-2.14964241755107,-3.0,4,2
PUMPUSDT,6,4.967896641511501,3.715556964633355,4,2
NEARUSDT,8,0.8811408232593465,-0.7512902253170424,6,2
CUDISUSDT,8,4.186218422824467,2.415653680271453,5,3
TURTLEUSDT,3,1.1507391853997904,1.1507391853997904,3,0
WLFIUSDT,9,-1.4777294665380292,-5.0,8,1
ZRXUSDT,5,-4.0,-4.0,5,0
HMSTRUSDT,7,-2.5800593850176217,0.41994061498237834,4,3
FUSDT,6,5.5888720718271525,5.5888720718271525,6,0
ZKCUSDT,6,-1.801552438562939,-4.0,4,2
DOGSUSDT,12,-10.0,-2.6620614690132975,11,1
MOCAUSDT,8,-2.510716029816613,0.6045338751772116,8,0
LISTAUSDT,8,-3.7374624190740158,-3.7374624190740158,8,0
MAGICUSDT,7,-1.336064323904587,3.9618031725279033,6,1
SPKUSDT,11,8.396704251591753,15.978086729154814,10,1
SUPERUSDT,10,-4.46958568272217,-4.46958568272217,10,0
SOLUSDT,4,-3.0,-2.0,4,0
BOMEUSDT,16,0.8503464544111767,6.531641265233926,13,3
MIRAUSDT,5,3.6925624778365758,3.6925624778365758,5,0
BLUAIUSDT,5,-1.6592051639752392,-4.0,4,1
SOONUSDT,6,1.6536235229576963,0.5937228946635571,5,1
LTCUSDT,10,-7.0,-6.0,9,1
MINAUSDT,7,1.6296941266547669,-3.0,5,2
ASRUSDT,4,-1.0,-1.0,2,2
KMNOUSDT,4,-4.0,-4.0,4,0
CHRUSDT,6,2.2813962705965505,7.078627544613145,4,2
THETAUSDT,7,-1.493566305117032,-1.493566305117032,7,0
YFIUSDT,3,-3.0,-3.0,3,0
FILUSDT,7,4.277944568440606,-1.9759432261214211,5,2
NEIROUSDT,17,11.390980816271059,9.279690388477736,15,2
ZENUSDT,11,-5.862929946581265,0.5135231819533304,10,1
SWARMSUSDT,8,6.57428672412345,2.1694246561160284,6,2
KAITOUSDT,10,-0.016112428498266773,9.471977178143709,10,0
YALAUSDT,8,-1.7555430279425788,-3.7421812191975774,7,1
JTOUSDT,7,5.291676008039564,-4.0,4,3
LUNA2USDT,9,2.6326932152125613,2.6326932152125613,9,0
HBARUSDT,7,9.51401637636656,13.596045067712609,5,2
GALAUSDT,13,3.8189663990347045,4.8189663990347045,12,1
VELODROMEUSDT,8,-8.0,-2.9141847586606056,7,1
AINUSDT,3,-3.0,-3.0,3,0
SAHARAUSDT,4,-3.0,-3.0,3,1
1000XECUSDT,4,6.271641010017071,6.271641010017071,4,0
RPLUSDT,12,3.4476039355791093,0.5479391094068413,10,2
MOVRUSDT,6,5.605681941799108,2.7911867058639688,5,1
WALUSDT,8,-4.635472908386497,-0.3518097052633462,8,0
